firstName,lastName,birthDate,subject,classNum,classLet
Angelina,David,04.08.2016,3,D
Mario,Knapp,05.02.2007,1,G
Glenna,Rush,16.11.2016,5,C
Donnell,Quinn,26.12.2006,11,F
Russ,Higgins,08.05.2009,4,F
Cruz,Morgan,18.05.2013,7,D
Monroe,Joyner,13.09.2017,1,A
Charles,Doyle,22.09.2008,8,C
Sharron,Blake,13.11.2011,11,E
Nolan,Hardin,28.09.2005,9,F
Maricela,Solis,21.07.2010,6,E
Carol,Nelson,03.04.2013,4,G
Cleveland,Parrish,28.02.2008,3,E
Muriel,Burns,01.06.2007,5,G
Elena,Kaufman,24.03.2014,11,B
Hilario,Keller,28.11.2014,2,F
Ora,Wooten,26.03.2006,11,A
Jamaal,Franks,28.09.2017,11,B
Lolita,Paul,01.09.2014,3,C
Ronny,Thomas,26.01.2017,10,B
Roosevelt,Cline,13.03.2007,2,G
Christine,Clayton,06.10.2018,5,B
Lauren,Crane,21.09.2007,2,D
Guadalupe,Woodward,24.12.2015,5,B
Nicholas,Leblanc,13.08.2012,11,F
Abdul,Joyce,02.05.2012,4,E
Marylou,Pickett,16.01.2009,1,C
Rhonda,Underwood,26.02.2006,3,F
Kathryn,Howell,01.05.2008,8,E
Luella,Morin,09.05.2008,8,F
Rosalinda,Bender,24.04.2012,4,D
Norma,Lowery,08.12.2010,10,C
Ruth,Marshall,14.05.2011,9,C
Frankie,Pacheco,19.01.2014,11,G
Janna,Hyde,13.09.2011,4,E
Claudette,Mcdonald,12.09.2015,4,E
Hollie,Ward,01.03.2013,11,G
Faith,Ford,25.03.2005,6,E
Gena,Holder,12.05.2011,10,D
Brittany,Vincent,15.11.2018,2,G
Eldon,Patton,24.10.2017,11,C
Leslie,Michael,04.11.2015,6,F
Sylvia,Fulton,17.11.2006,8,F
Billy,Olson,03.01.2012,8,B
Jarrett,Haynes,05.10.2012,8,B
Rosa,Roberson,09.09.2011,6,C
Jeffry,Buck,01.10.2014,9,A
Scott,Wooten,10.04.2016,6,A
Latoya,Davenport,02.11.2007,6,F
Natalia,Joyner,26.10.2006,9,F
Eugene,Bentley,19.01.2008,1,D
Jose,Miller,13.10.2015,1,C
Arline,Farmer,23.11.2007,11,E
Della,Whitney,22.12.2007,7,A
Krista,Joseph,10.10.2005,6,A
Marisa,Singleton,07.06.2011,4,A
Julian,Deleon,05.08.2016,2,D
Brian,Harrington,21.04.2009,10,G
Leonard,Mullins,12.07.2014,3,D
Efrain,Donaldson,10.06.2011,1,A
Jonathon,Cummings,04.06.2009,11,B
Liza,Ewing,17.11.2013,9,D
Pablo,Michael,20.11.2007,1,G
Harriet,Adkins,22.08.2005,3,D
Teri,Ortega,24.01.2005,10,D
Virgil,Wagner,17.07.2007,1,A
Trinidad,Mueller,11.06.2006,10,A
May,Powell,23.06.2013,2,D
Ed,Estrada,21.09.2017,10,G
Patrick,Mcmahon,28.06.2009,5,A
Patsy,Morse,08.06.2017,7,F
Sandy,Burns,23.06.2012,8,B
Herman,Buckley,07.06.2015,7,D
Kelly,Webster,07.05.2015,1,B
Francis,Maldonado,12.11.2018,6,E
Mel,Fields,24.01.2006,5,G
Annie,Burnett,14.01.2014,5,C
Rex,Mccall,03.10.2007,3,G
Abdul,Farmer,13.12.2016,4,D
Terry,Herring,08.11.2016,7,E
Mason,Hinton,11.05.2017,10,A
Jan,Velasquez,28.08.2016,4,A
Angie,Frazier,09.03.2014,7,E
Judson,Hyde,20.12.2017,10,D
Mariana,Davidson,11.07.2016,10,G
Wallace,Lyons,21.05.2009,3,F
Lula,Faulkner,18.07.2016,1,C
Roslyn,Mckenzie,04.01.2014,5,D
Gabriel,Combs,22.04.2009,3,B
Lydia,Carson,24.05.2005,11,G
Candice,Palmer,11.10.2015,2,C
Evangelina,Patrick,09.05.2011,11,C
Donny,Buck,11.05.2015,5,B
Kent,Atkins,15.06.2011,1,F
Lee,Blake,19.02.2015,4,G
Sonny,Dale,26.04.2007,10,F
Lolita,Garrison,05.04.2007,7,G
Ina,Britt,10.05.2007,11,D
Logan,Downs,26.05.2018,3,C
Phillip,Shannon,01.02.2007,9,B
