firstName,lastName,birthDate,post
Jarrett,Roth,02.02.1996,Менеджер
Lakisha,Roy,14.11.1997,Менеджер
Chasity,Ballard,13.12.1984,Кассир
Tyler,Howard,07.07.1980,Уборщик
Freda,Ruiz,27.05.2000,Менеджер
Tabitha,Melendez,27.03.1986,Менеджер
Lon,Allison,11.11.1992,Директор
Celia,Serrano,08.10.1977,Кассир
Amado,Fields,27.02.1991,Директор
Alexander,Ratliff,13.01.1970,Менеджер
Helga,Christian,02.06.1996,Уборщик
Diann,Mueller,08.09.1970,Директор
Adriana,Ochoa,12.09.1972,Кассир
Amado,Maddox,06.02.1992,Директор
Isabella,Turner,24.11.1998,Кассир
Jarrett,Bonner,23.04.1988,Директор
Elisa,Wheeler,05.10.1984,Менеджер
Clay,Fleming,09.06.1998,Менеджер
Crystal,Dillard,28.02.1988,Директор
Refugio,Franco,04.11.1990,Директор
Porfirio,Hatfield,16.01.1995,Уборщик
Lydia,Warner,01.05.1994,Уборщик
Alberta,Morrow,05.05.1990,Уборщик
Nora,Holcomb,13.12.1983,Менеджер
Gilbert,Dean,02.01.1979,Уборщик
Jerry,Walter,04.06.1979,Кассир
Michael,Mcknight,11.01.1990,Менеджер
Deanna,Turner,03.10.1995,Уборщик
Byron,Rosales,08.06.1993,Директор
Silvia,Hendricks,14.09.1978,Уборщик
Romeo,Fulton,14.09.1972,Уборщик
Lina,Richard,23.05.1971,Менеджер
Tabatha,Little,03.03.1994,Директор
Mohamed,Bailey,27.02.1992,Менеджер
Verna,Wong,20.04.1973,Кассир
Manuela,Avery,10.04.1996,Менеджер
Danny,Slater,05.07.1978,Менеджер
Jill,Green,23.10.1987,Уборщик
Barton,Tyler,08.06.1997,Уборщик
Lester,Merritt,02.01.1996,Уборщик
Leonel,Roberts,11.02.1987,Менеджер
Leslie,Bryant,24.06.1993,Уборщик
Sylvia,Stark,11.10.1995,Уборщик
Marlin,Hood,15.07.1973,Кассир
Diego,Ballard,11.03.1985,Кассир
April,Frye,10.02.1977,Директор
Effie,Hodges,08.07.1979,Кассир
Clark,Price,06.01.1999,Кассир
Elizabeth,Orr,08.12.1978,Консультант
Vilma,Cummings,03.06.1998,Директор
Sean,Dudley,02.01.1995,Менеджер
Kerry,Weeks,13.08.1997,Кассир
Roberto,Rose,10.02.1981,Кассир
Lupe,Scott,13.01.1982,Кассир
Freddie,Edwards,19.08.1971,Директор
Lorna,Zimmerman,01.06.1976,Менеджер
Edwardo,Walton,10.12.1986,Консультант
Trey,Owen,09.08.1972,Менеджер
Alton,Lindsay,03.02.1974,Директор
Tami,Mcfarland,06.11.1973,Директор
Pamela,Houston,02.05.2000,Менеджер
Geoffrey,Richardson,05.04.1972,Менеджер
Mabel,Long,22.12.1987,Директор
Melvin,Battle,21.04.1979,Менеджер
Teddy,Monroe,13.09.1981,Менеджер
Susanne,Bishop,24.07.1985,Кассир
Maria,Foster,26.06.1975,Уборщик
Avery,Stone,06.08.1988,Менеджер
Sung,Jackson,21.09.1997,Менеджер
Benny,Davenport,10.03.1971,Консультант
Carlton,Vincent,22.02.1971,Кассир
Sandra,Vincent,05.08.1970,Менеджер
Veronica,Andrews,13.04.1988,Кассир
Christa,Mccarty,20.09.1988,Директор
Irving,Mcmillan,22.03.2000,Уборщик
Andy,Weber,01.08.1984,Директор
Lindsey,Rivers,16.11.1995,Менеджер
Caitlin,Holloway,28.02.1993,Кассир
Fritz,Sellers,25.09.1993,Уборщик
Agnes,Flynn,14.09.1970,Консультант
Cheri,Norton,08.04.1974,Кассир
Marilyn,Cash,25.04.1984,Кассир
Sherman,Cantrell,06.12.1970,Консультант
Derick,Gardner,13.07.2000,Консультант
Emmett,Patel,11.08.1990,Уборщик
Noreen,Case,09.02.1993,Консультант
Linwood,Roy,07.06.1997,Менеджер
Maxwell,Giles,05.03.1978,Кассир
Randall,Blevins,15.07.1989,Директор
Alec,Green,19.12.1976,Консультант
Stuart,Weiss,19.11.1973,Менеджер
Suzanne,Nicholson,06.07.1991,Кассир
Jeannie,Rodriquez,08.08.1989,Уборщик
Celia,Patel,18.09.1986,Директор
Debora,Glass,17.06.1976,Менеджер
Alvaro,Vang,20.03.1993,Кассир
Maryann,Harrison,10.05.1970,Уборщик
Brenton,Jones,07.01.1980,Консультант
Santiago,Bradley,09.05.1978,Уборщик
Mary,Glenn,14.01.1978,Менеджер
Joan,Hardy,17.01.1998,Консультант
